sign,url
book,https://media.asldeafined.com/vocabulary/1466684225.687.mp4
book,https://www.signingsavvy.com/signs/mp4/14/14326.mp4
book,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4
book,http://aslbricks.org/New/ASL-Videos/book.mp4
book,http://www.aslsearch.com/signs/videos/book.mp4
book,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4
drink,https://media.spreadthesign.com/video/mp4/13/153289.mp4
drink,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4
drink,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4
drink,http://aslbricks.org/New/ASL-Videos/drink.mp4
drink,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4
drink,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4
drink,https://www.signingsavvy.com/signs/mp4/23/23388.mp4
drink,http://www.aslsearch.com/signs/videos/drink.mp4
drink,https://www.signingsavvy.com/signs/mp4/23/23389.mp4
drink,https://www.signingsavvy.com/signs/mp4/23/23388.mp4
drink,https://www.signingsavvy.com/signs/mp4/14/14885.mp4
drink,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4
drink,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4
drink,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4
drink,https://www.signingsavvy.com/signs/mp4/7/7796.mp4
before,https://media.asldeafined.com/vocabulary/1466681379.1244.mp4
before,http://www.aslsearch.com/signs/videos/before.mp4
before,https://www.signingsavvy.com/signs/mp4/22/22829.mp4
before,https://media.asldeafined.com/vocabulary/1468755772.9751.mp4
before,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/before.mp4
before,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Last-0SLfkAHELAs.mp4
before,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-Se78WI3j-mI.mp4
before,https://www.signingsavvy.com/signs/mp4/22/22831.mp4
before,https://media.asldeafined.com/vocabulary/1466681314.2550.mp4
before,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-kM8O_piLegw.mp4
before,https://www.signingsavvy.com/signs/mp4/9/9194.mp4
before,http://www.aslsearch.com/signs/videos/before3.mp4
before,https://www.signingsavvy.com/signs/mp4/6/6164.mp4
before,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BE/BEFORE-37.mp4
before,https://www.signingsavvy.com/signs/mp4/5/5971.mp4
before,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before%202-02xxXtC3G8c.mp4
chair,https://www.signingsavvy.com/signs/mp4/7/7821.mp4
chair,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/chair.mp4
chair,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHAIR-378.mp4
chair,https://media.asldeafined.com/vocabulary/1466729509.9229.mp4
chair,http://www.aslsearch.com/signs/videos/chair.mp4
chair,https://media.spreadthesign.com/video/mp4/13/74909.mp4
chair,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Chair-mVdtJjs-_20.mp4
go,https://www.signingsavvy.com/signs/mp4/23/23517.mp4
go,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GO/GO-469.mp4
go,http://aslbricks.org/New/ASL-Videos/go.mp4
go,https://media.spreadthesign.com/video/mp4/13/58507.mp4
go,https://www.signingsavvy.com/signs/mp4/23/23400.mp4
go,https://www.signingsavvy.com/signs/mp4/23/23517.mp4
go,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20To%20Go-BeOwDK5YI0U.mp4
go,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/go.mp4
go,https://media.asldeafined.com/vocabulary/1468549286.5649.mp4
go,https://www.signingsavvy.com/signs/mp4/23/23400.mp4
go,http://www.aslsearch.com/signs/videos/go.mp4
go,https://www.signingsavvy.com/signs/mp4/22/22235.mp4
go,https://www.signingsavvy.com/signs/mp4/23/23401.mp4
go,https://www.signingsavvy.com/signs/mp4/23/23519.mp4
go,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20go-c3j44FTrL9c.mp4
who,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHO-1430.mp4
who,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-xchfz0eTaP8.mp4
who,http://aslbricks.org/New/ASL-Videos/who.mp4
who,https://media.spreadthesign.com/video/mp4/13/51811.mp4
who,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-rehp_kwiS-I.mp4
who,https://media.asldeafined.com/vocabulary/1468928348.68.mp4
who,https://www.signingsavvy.com/signs/mp4/9/9020.mp4
who,http://www.aslsearch.com/signs/videos/who.mp4
who,https://www.signingsavvy.com/signs/mp4/9/9019.mp4
who,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who%202-P20hHY3qUEQ.mp4
who,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHO-2236.mp4
who,https://media.asldeafined.com/vocabulary/1539176590.1089.mp4
